filename	total_features	plantmasst_features	percentage	Sample_type	MS_type	PERIOD	TREAT	wet_weight	SampleID	diet
Sep2023_conjBA_BeefDiet_089_L1-40.mzML	119776545.897066	31956243.539529998	26.679884029209415	L1-40	MS1_pos	DP2	MED0.5	26.0	210.0	Mediterranean
Sep2023_conjBA_BeefDiet_094_L1-22.mzML	264585825.20511502	81686944.653415	30.873515083466312	L1-22	MS1_pos	DP4	MED0.5	25.3	206.0	Mediterranean
Sep2023_conjBA_BeefDiet_031_L1-78.mzML	198392448.00881898	39685275.17486	20.003420277921013	L1-78	MS1_pos	DP4	MED0.5	25.0	218.0	Mediterranean
Sep2023_conjBA_BeefDiet_030_L1-75.mzML	258706076.152534	77801258.45192501	30.07322425858027	L1-75	MS1_pos	DP1	MED2.5	25.5	218.0	Mediterranean
Sep2023_conjBA_BeefDiet_029_L1-96.mzML	333096780.72018	84281189.05697	25.3023127016562	L1-96	MS1_pos	DP1	MED0.5	26.4	224.0	Mediterranean
Sep2023_conjBA_BeefDiet_040_L1-90.mzML	152280782.29576802	43578648.799339004	28.61730032007465	L1-90	MS1_pos	DP4	MED5.5	26.5	222.0	Mediterranean
Sep2023_conjBA_BeefDiet_044_L1-32.mzML	168895260.34412003	40484461.154384	23.970158234101945	L1-32	MS1_pos	DP4	MED0.5	25.4	208.0	Mediterranean
Sep2023_conjBA_BeefDiet_028_L1-117.mzML	201542081.61346602	43683596.69045	21.674677735159047	L1-117	MS1_pos	DP4	MED5.5	27.3	228.0	Mediterranean
Sep2023_conjBA_BeefDiet_036_L1-130.mzML	152739281.272984	35920178.092141	23.517315122062474	L1-130	MS1_pos	DP1	MED0.5	24.7	232.0	Mediterranean
Sep2023_conjBA_BeefDiet_025_L1-105.mzML	171744933.40607	49153359.85238	28.61997665815437	L1-105	MS1_pos	DP1	MED2.5	26.1	226.0	Mediterranean
Sep2023_conjBA_BeefDiet_020_L1-16.mzML	133478474.219874	29749866.613616	22.28813805933246	L1-16	MS1_pos	DP4	MED5.5	25.3	204.0	Mediterranean
Sep2023_conjBA_BeefDiet_032_L1-138.mzML	129753074.32810201	34694971.314622	26.739228719074546	L1-138	MS1_pos	DP3	MED2.5	27.0	234.0	Mediterranean
Sep2023_conjBA_BeefDiet_017_L1-106.mzML	180382614.908803	52400672.10885999	29.04973527263283	L1-106	MS1_pos	DP2	MED5.5	27.0	226.0	Mediterranean
Sep2023_conjBA_BeefDiet_026_L1-120.mzML	172568499.26011598	32967579.663560003	19.10405421899585	L1-120	MS1_pos	DP2	MED5.5	26.0	229.0	Mediterranean
Sep2023_conjBA_BeefDiet_007_L1-98.mzML	118469048.880211	35553442.03815	30.010743206100663	L1-98	MS1_pos	DP3	MED5.5	23.9	224.0	Mediterranean
Sep2023_conjBA_BeefDiet_012_L1-30.mzML	128256794.96837202	38234141.44918	29.810616629402357	L1-30	MS1_pos	DP2	MED5.5	25.2	208.0	Mediterranean
