filename	total_features	plantmasst_features	percentage	Sample_type	MS_type	PERIOD	TREAT	wet_weight	SampleID	diet
Sep2023_conjBA_BeefDiet_094_L1-22.mzML	264585825.20511502	766673.9536000001	0.28976380462016477	L1-22	MS1_pos	DP4	MED0.5	25.3	206.0	Mediterranean
Sep2023_conjBA_BeefDiet_031_L1-78.mzML	198392448.00881898	1037940.0994499999	0.5231752064493207	L1-78	MS1_pos	DP4	MED0.5	25.0	218.0	Mediterranean
Sep2023_conjBA_BeefDiet_030_L1-75.mzML	258706076.152534	875790.3293499999	0.33852715884169293	L1-75	MS1_pos	DP1	MED2.5	25.5	218.0	Mediterranean
Sep2023_conjBA_BeefDiet_029_L1-96.mzML	333096780.72018	960529.471995	0.28836348100340803	L1-96	MS1_pos	DP1	MED0.5	26.4	224.0	Mediterranean
Sep2023_conjBA_BeefDiet_040_L1-90.mzML	152280782.29576802	1338087.0084	0.8786972251042777	L1-90	MS1_pos	DP4	MED5.5	26.5	222.0	Mediterranean
Sep2023_conjBA_BeefDiet_044_L1-32.mzML	168895260.34412003	1004255.18986	0.5946023516668582	L1-32	MS1_pos	DP4	MED0.5	25.4	208.0	Mediterranean
Sep2023_conjBA_BeefDiet_028_L1-117.mzML	201542081.61346602	1013069.1909	0.5026588902872142	L1-117	MS1_pos	DP4	MED5.5	27.3	228.0	Mediterranean
Sep2023_conjBA_BeefDiet_036_L1-130.mzML	152739281.272984	672529.37512	0.44031199408226795	L1-130	MS1_pos	DP1	MED0.5	24.7	232.0	Mediterranean
Sep2023_conjBA_BeefDiet_025_L1-105.mzML	171744933.40607	358919.95509	0.20898430478957855	L1-105	MS1_pos	DP1	MED2.5	26.1	226.0	Mediterranean
Sep2023_conjBA_BeefDiet_020_L1-16.mzML	133478474.219874	681996.6733900001	0.5109413164751742	L1-16	MS1_pos	DP4	MED5.5	25.3	204.0	Mediterranean
Sep2023_conjBA_BeefDiet_032_L1-138.mzML	129753074.32810201	1222899.2922560002	0.9424819400916067	L1-138	MS1_pos	DP3	MED2.5	27.0	234.0	Mediterranean
