filename	total_features	plantmasst_features	percentage	Sample_type	MS_type	PERIOD	TREAT	wet_weight	SampleID	diet
Sep2023_conjBA_BeefDiet_045_L1-93.mzML	228032476.872828	3946927.6683	1.7308620782561477	L1-93	MS1_pos	DP2	MED2.5	24.5	223.0	Mediterranean
Sep2023_conjBA_BeefDiet_046_L1-67.mzML	145584177.81391	2433339.27537	1.6714311348314006	L1-67	MS1_pos	DP3	MED0.5	27.2	216.0	Mediterranean
Sep2023_conjBA_BeefDiet_050_L1-139.mzML	144531395.82784498	4136084.8727	2.8617207002045397	L1-139	MS1_pos	DP4	MED0.5	27.5	234.0	Mediterranean
Sep2023_conjBA_BeefDiet_041_L1-77.mzML	187175550.271244	1827126.77983	0.9761567561480297	L1-77	MS1_pos	DP3	MED5.5	24.5	218.0	Mediterranean
Sep2023_conjBA_BeefDiet_097_L1-109.mzML	181879757.70734	2623565.55978	1.4424725394683777	L1-109	MS1_pos	DP1	MED5.5	27.6	227.0	Mediterranean
Sep2023_conjBA_BeefDiet_086_L1-131.mzML	226252336.36944	3977409.3364899997	1.7579528239635143	L1-131	MS1_pos	DP2	MED5.5	27.6	232.0	Mediterranean
Sep2023_conjBA_BeefDiet_090_L1-9.mzML	189515781.059723	2853133.7816000003	1.5054861213382957	L1-9	MS1_pos	DP3	MED0.5	25.3	202.0	Mediterranean
Sep2023_conjBA_BeefDiet_092_L1-133.mzML	205861434.953858	1874054.30497	0.9103474409328063	L1-133	MS1_pos	DP4	MED2.5	25.5	232.0	Mediterranean
Sep2023_conjBA_BeefDiet_096_L1-110.mzML	86533329.55562499	1294531.0181399998	1.4959912264878872	L1-110	MS1_pos	DP2	MED0.5	25.7	227.0	Mediterranean
Sep2023_conjBA_BeefDiet_072_L1-144.mzML	132139469.649742	3017730.58368	2.2837465533038728	L1-144	MS1_pos	DP2	MED0.5	26.0	236.0	Mediterranean
Sep2023_conjBA_BeefDiet_078_L1-68.mzML	149965235.51550502	2349809.2613000004	1.5669026579543843	L1-68	MS1_pos	DP4	MED5.5	22.7	216.0	Mediterranean
Sep2023_conjBA_BeefDiet_083_L1-14.mzML	148762398.686606	1520066.48825	1.0218082671900752	L1-14	MS1_pos	DP2	MED2.5	28.0	204.0	Mediterranean
Sep2023_conjBA_BeefDiet_079_L1-44.mzML	112668655.102707	977118.8063499999	0.8672499067813257	L1-44	MS1_pos	DP1	MED5.5	23.9	211.0	Mediterranean
Sep2023_conjBA_BeefDiet_087_L1-70.mzML	243470276.55571902	3507912.0514	1.4407968401831597	L1-70	MS1_pos	DP1	MED0.5	26.8	217.0	Mediterranean
Sep2023_conjBA_BeefDiet_069_L1-97.mzML	156881334.196041	2730569.8662499995	1.7405320271166507	L1-97	MS1_pos	DP2	MED2.5	25.4	224.0	Mediterranean
Sep2023_conjBA_BeefDiet_073_L1-127.mzML	166558219.708464	3747757.85946	2.250118826930251	L1-127	MS1_pos	DP4	MED0.5	23.5	230.0	Mediterranean
Sep2023_conjBA_BeefDiet_063_L1-82.mzML	129181528.229689	2850268.51891	2.2064056355194444	L1-82	MS1_pos	DP3	MED0.5	25.6	219.0	Mediterranean
Sep2023_conjBA_BeefDiet_055_L1-50.mzML	173970897.488055	3425798.0342099993	1.9691788015551381	L1-50	MS1_pos	DP2	MED0.5	25.1	212.0	Mediterranean
Sep2023_conjBA_BeefDiet_053_L1-124.mzML	250500878.306933	3360183.3737000003	1.341385865155668	L1-124	MS1_pos	DP1	MED2.5	26.6	230.0	Mediterranean
Sep2023_conjBA_BeefDiet_051_L1-80.mzML	122196924.532896	1443071.83474	1.180939569679201	L1-80	MS1_pos	DP1	MED5.5	22.1	219.0	Mediterranean
Sep2023_conjBA_BeefDiet_066_L1-8.mzML	127012131.896269	1639992.3745199998	1.2912092333505465	L1-8	MS1_pos	DP2	MED5.5	25.6	202.0	Mediterranean
Sep2023_conjBA_BeefDiet_061_L1-57.mzML	186807595.19747397	1609844.7478999998	0.8617662179089859	L1-57	MS1_pos	DP3	MED0.5	24.8	214.0	Mediterranean
Sep2023_conjBA_BeefDiet_062_L1-19.mzML	130322253.857967	1957909.91072	1.502360381868355	L1-19	MS1_pos	DP1	MED2.5	27.2	206.0	Mediterranean
Sep2023_conjBA_BeefDiet_052_L1-4.mzML	210403905.385288	4261663.71159	2.0254679701815017	L1-4	MS1_pos	DP3	MED2.5	27.0	201.0	Mediterranean
Sep2023_conjBA_BeefDiet_076_L1-42.mzML	205016597.17904502	2611308.54954	1.2737059269691677	L1-42	MS1_pos	DP4	MED5.5	27.8	210.0	Mediterranean
Sep2023_conjBA_BeefDiet_163_L1-101.mzML	142893538.06817	1645189.50836	1.1513393331860338	L1-101	MS1_pos	DP1	MED0.5	24.4	225.0	Mediterranean
